City,Population_Density_per_km2,Industrial_Activity_Level,Plastic_Waste_per_day_tonnes,Nearby_Water_Body,Wastewater_Treatment_Quality,Waste_Disposal_Regulation,Plastic_Recycling_Effort,Proximity_to_Ecosensitive_Zone,Uncollected_Plastic_Waste_tonnes_per_day,Annual_Rainfall_mm,Surface_Water_pH,Plastic_Bottle_Usage_per_1000_people,Wastewater_Discharge_MLD,Distance_to_Nearest_Water_Body_km,Microplastic_Risk_Level
City_39,8735,Low,266,Yes,Poor,Unregulated,High,No,206,801,6.1,3509,376,2.27,Medium
City_40,22333,High,214,Yes,Good,Unregulated,High,Yes,19,1259,7.48,654,42,2.47,Medium
City_41,17957,Medium,573,Yes,Good,Partially Regulated,Moderate,Yes,295,1421,7.69,3037,269,15.14,High
City_42,24463,Medium,616,No,Good,Unregulated,High,Yes,251,1251,6.04,1909,29,13.93,Medium
City_43,16845,High,80,No,Poor,Unregulated,Moderate,Yes,260,1165,7.28,4557,265,5.48,High
City_44,19072,Medium,358,Yes,Good,Well Regulated,Low,No,14,1109,6.57,1284,344,23.67,Medium
City_45,23729,Low,347,No,Poor,Unregulated,Low,No,128,756,7.61,3675,119,19.58,Medium
City_46,19601,High,154,Yes,Poor,Unregulated,Low,No,298,984,6.44,4841,309,3.01,High
City_47,5411,Medium,94,Yes,Poor,Well Regulated,Low,Yes,74,1061,7.73,3306,199,23.29,Medium
City_48,2929,High,722,Yes,Average,Partially Regulated,Low,Yes,155,1517,6.97,1037,242,24.36,Medium
City_49,17293,High,346,No,Average,Unregulated,Moderate,Yes,233,1303,8.34,2341,413,24.9,High
City_50,17585,High,156,Yes,Good,Unregulated,Low,Yes,248,671,6.34,2955,269,1.59,High
City_51,6528,Low,359,No,Average,Well Regulated,High,Yes,186,1297,6.85,1024,166,18.48,Low
City_52,2252,Medium,564,Yes,Average,Partially Regulated,High,Yes,276,1084,6.28,3450,461,13.74,Medium
City_53,8260,Medium,63,No,Average,Well Regulated,Low,No,291,996,8.31,4631,115,17.7,Medium
City_54,18971,High,401,Yes,Average,Partially Regulated,High,No,72,1383,8.19,4615,276,24.22,Medium
City_55,17753,Low,678,No,Poor,Well Regulated,Moderate,Yes,226,1509,6.64,2868,344,17.26,High
City_56,7053,High,320,No,Poor,Well Regulated,Moderate,No,292,1479,7.65,4347,23,20.96,Medium
City_57,11422,High,663,Yes,Good,Well Regulated,High,No,186,948,8.04,4995,35,21.7,Medium
City_58,24438,Medium,575,No,Poor,Partially Regulated,Low,Yes,107,1107,7.39,3201,299,20.99,High
City_59,24595,Low,394,No,Average,Partially Regulated,Moderate,Yes,114,1299,7.32,1471,355,10.77,Medium
City_60,12728,Medium,674,No,Average,Well Regulated,High,No,108,1492,6.6,1666,266,5.72,Low
City_61,17388,Low,344,No,Good,Unregulated,Low,Yes,15,1056,6.23,3274,277,10.04,Medium
City_62,9408,High,684,No,Poor,Unregulated,Low,No,206,1144,8.24,2482,495,22.32,High
City_63,11059,Low,768,No,Poor,Partially Regulated,Low,No,142,868,8.25,1353,403,3.84,Medium
City_64,22607,Medium,516,Yes,Good,Well Regulated,High,Yes,268,841,7.58,4646,179,12.93,Medium
City_65,16720,Low,310,No,Average,Well Regulated,Moderate,No,32,1443,6.85,4236,494,5.98,Medium
City_66,19251,Medium,561,No,Poor,Partially Regulated,Low,Yes,62,1606,6.87,4269,359,14.62,High
City_67,24037,Low,64,Yes,Poor,Partially Regulated,High,Yes,174,1178,7.81,1074,171,21.61,Medium
City_68,16606,High,325,No,Average,Unregulated,High,Yes,211,1501,8.24,3761,415,22.03,High
City_69,16748,Medium,155,Yes,Good,Unregulated,High,No,92,1308,8.22,1648,197,6.07,Low
City_70,13910,Medium,727,No,Good,Well Regulated,Low,Yes,154,1006,7.95,2215,182,22.71,Medium
City_71,18326,Medium,578,Yes,Average,Well Regulated,Low,Yes,94,1308,7.61,4354,399,14.88,High
City_72,22416,Low,403,Yes,Good,Unregulated,Low,No,87,1661,6.21,2991,52,8.89,Medium
City_73,21839,Medium,67,No,Good,Partially Regulated,Low,No,10,1189,6.4,3160,436,17.76,Medium
City_74,12843,Low,639,Yes,Good,Well Regulated,High,No,60,1669,8.25,3624,464,12.15,Low
City_75,10586,Low,99,No,Average,Well Regulated,Moderate,No,182,414,7.52,3551,198,9.57,Low
City_76,7162,High,90,Yes,Poor,Unregulated,High,Yes,214,1446,6.02,504,446,17.69,Medium
City_77,2385,Medium,198,Yes,Good,Unregulated,Low,Yes,269,1226,6.25,1376,120,6.37,Medium
City_78,6678,High,261,No,Average,Well Regulated,Low,No,297,1110,7.66,1491,287,8.39,Medium
City_79,23167,Medium,738,Yes,Good,Partially Regulated,Low,No,43,1227,6.01,4642,342,10.97,High
City_80,14749,Low,394,No,Good,Well Regulated,High,No,104,603,6.4,4864,84,6.49,Low
City_81,11947,High,463,No,Good,Well Regulated,Moderate,No,81,1134,7.37,4965,436,10.25,Medium
City_82,3524,Low,627,Yes,Good,Well Regulated,High,No,48,1307,7.73,1135,187,14.37,Low
City_83,5709,High,323,No,Poor,Well Regulated,High,Yes,163,1643,7.63,2193,349,18.58,Medium
City_84,8832,High,363,No,Average,Partially Regulated,Moderate,No,259,1044,6.56,2182,62,19.23,Medium
City_85,14147,High,58,Yes,Average,Partially Regulated,Low,Yes,171,957,7.78,619,63,20.61,Medium
City_86,11428,Medium,502,No,Good,Well Regulated,Low,Yes,127,1049,6.59,1330,304,18.66,Medium
City_87,12726,Medium,219,No,Poor,Well Regulated,Low,No,268,1474,6.81,4175,416,17.09,High
City_88,11614,Low,771,Yes,Poor,Unregulated,High,No,277,1298,7.87,1869,31,6.09,Medium
City_89,17653,High,547,No,Good,Unregulated,High,No,63,1041,7.62,1240,114,10.13,Medium
City_90,23654,Medium,607,No,Average,Unregulated,High,No,245,1353,8.12,616,321,12.05,Medium
City_91,15982,High,241,No,Average,Unregulated,High,Yes,231,1229,7.64,3338,405,2.26,High
City_92,9215,High,666,No,Poor,Well Regulated,Moderate,Yes,260,1490,7.42,1650,272,13.3,Medium
City_93,24794,Low,697,No,Poor,Unregulated,Low,No,121,989,6.23,2431,261,11.02,High
City_94,7127,High,444,No,Average,Partially Regulated,Moderate,No,264,1101,6.92,1512,54,20.09,Medium
City_95,8178,Low,316,No,Good,Well Regulated,Low,No,216,1082,6.66,2164,234,24.45,Medium
City_96,24026,Low,585,No,Poor,Well Regulated,Moderate,Yes,238,760,6.61,1581,356,13.99,Medium
City_97,11831,Medium,237,No,Poor,Unregulated,High,No,75,1288,8.43,1012,109,8.2,Medium
City_98,4173,Low,611,No,Poor,Partially Regulated,High,Yes,84,1278,6.98,3349,283,1.28,Medium
City_99,6037,Medium,618,Yes,Poor,Well Regulated,High,Yes,112,1201,8.23,1059,112,23.13,Medium
City_100,10095,Low,312,No,Poor,Well Regulated,Moderate,No,201,1129,7.58,4172,429,22.99,Medium
City_101,17538,Medium,485,Yes,Good,Partially Regulated,Low,Yes,300,1273,6.62111179457015,1338,103,12.10020540003103,Low
City_102,13288,Medium,322,Yes,Poor,Partially Regulated,High,Yes,154,1465,6.696644384070061,817,211,3.773649841189398,Low
City_103,18548,High,412,No,Poor,Unregulated,High,No,98,1716,8.5,511,339,20.160681851337387,Low
City_104,24407,Medium,678,Yes,Good,Well Regulated,Low,No,27,1447,7.215292006434862,3154,278,21.31381139297025,Low
City_105,12646,Low,447,Yes,Average,Well Regulated,Low,No,10,1236,7.7783651872800545,2324,149,1.0,Low
City_106,12646,High,416,Yes,Poor,Well Regulated,High,Yes,21,1453,6.644916020001279,3109,266,20.294803924950877,Low
City_107,24783,Medium,117,Yes,Good,Unregulated,High,Yes,183,1207,6.652875549042058,3521,56,8.078701275933806,Low
City_108,19350,Low,565,No,Average,Partially Regulated,Low,Yes,204,1174,7.994426111343578,2959,423,19.465261657420285,Medium
City_109,11071,Medium,543,Yes,Poor,Well Regulated,High,Yes,21,1072,6.2423604197224325,3478,237,13.14601278912383,Low
City_110,17845,Low,800,No,Average,Well Regulated,Low,No,238,1594,6.915616968518527,2515,419,13.809894080460108,Medium
City_111,11112,Low,341,No,Average,Partially Regulated,Moderate,Yes,117,945,7.23931851259513,1036,193,12.349459793094882,Low
City_112,11096,Medium,453,No,Average,Partially Regulated,Moderate,Yes,172,1585,7.2950497297008905,4007,194,21.89043021613297,Low
City_113,15833,Low,459,Yes,Good,Partially Regulated,Low,No,300,1304,7.085754009546877,1827,161,5.148867176773418,Low
City_114,2000,High,742,No,Poor,Well Regulated,Low,No,238,787,7.50000865920715,1369,385,17.764040734273614,Low
City_115,2669,Medium,386,No,Average,Well Regulated,Low,Yes,136,1268,7.714038468056417,2371,168,21.133838432546497,Low
City_116,10450,Low,465,No,Good,Well Regulated,High,Yes,82,596,7.744144412155368,1399,354,18.50493175334104,Low
City_117,7435,Medium,535,Yes,Good,Well Regulated,Moderate,Yes,10,1338,6.504477282593118,2054,213,25.0,Low
City_118,16317,Low,446,Yes,Poor,Partially Regulated,High,Yes,97,1409,7.010051530222264,3062,20,10.00148443645525,Low
City_119,8136,Low,311,No,Average,Well Regulated,High,Yes,141,1007,8.075688541151106,3068,187,20.150360676289573,Low
City_120,4761,Low,447,No,Poor,Well Regulated,Moderate,Yes,73,1202,7.859439649198221,1419,104,12.88895957623761,Low
City_121,24023,Low,635,Yes,Average,Unregulated,High,No,148,1700,6.22558363907768,1961,270,22.035719441753635,Medium
City_122,12702,Low,188,Yes,Poor,Well Regulated,Low,Yes,166,1030,7.468059477937564,4029,102,13.560895655005085,Low
City_123,14665,Low,434,Yes,Average,Unregulated,High,No,140,879,6.0,3264,392,10.964788321171543,Low
City_124,4678,Low,257,No,Poor,Well Regulated,High,No,103,1572,7.248619028573039,5000,253,22.53192044991608,Low
City_125,10570,High,660,Yes,Average,Well Regulated,High,No,174,1703,8.5,4169,241,10.256766888488183,Low
City_126,14956,Low,82,No,Average,Well Regulated,High,Yes,198,1169,6.531794188072187,4122,355,3.9665952264744906,Low
City_127,6510,High,287,No,Poor,Well Regulated,Low,Yes,64,1443,6.613627020490383,770,397,10.084108523313596,Low
City_128,16728,High,486,No,Poor,Partially Regulated,Moderate,Yes,283,1533,7.765323041050138,3618,263,17.84046951189681,Low
City_129,10193,Medium,739,No,Good,Unregulated,Low,No,151,966,6.103131577675577,2537,160,23.11894344262376,Low
City_130,12261,Low,392,Yes,Poor,Unregulated,Moderate,No,161,1036,6.758867218721548,1878,22,14.37224748425881,Low
City_131,10186,Medium,288,No,Good,Well Regulated,High,No,221,1503,7.644566740496617,2829,171,22.614715138853967,Low
City_132,26000,Low,800,No,Poor,Well Regulated,Low,No,180,1627,6.757764185183749,3858,181,4.339095887367936,Low
City_133,14123,Medium,98,No,Average,Well Regulated,High,Yes,243,1321,7.044771398904746,3270,280,10.586573256455221,Low
City_134,7134,Medium,50,No,Good,Partially Regulated,Low,No,185,928,7.751024359612376,1444,218,11.642863397163964,Low
City_135,19718,Medium,500,Yes,Good,Well Regulated,Low,Yes,106,1709,7.518545792963167,3590,360,12.83113038763425,Low
City_136,6042,Low,299,No,Good,Well Regulated,Low,Yes,191,1023,7.407056478058059,1763,181,14.187638942616896,Low
City_137,15611,Medium,189,No,Poor,Well Regulated,Moderate,No,60,1077,6.970444828285019,2894,258,18.331288861203426,Low
City_138,2000,Medium,557,Yes,Average,Partially Regulated,Low,Yes,169,1261,7.481448205954578,2205,428,10.576034323947429,Low
City_139,5324,Medium,458,Yes,Average,Partially Regulated,Low,No,157,1591,7.125644193552806,2317,312,14.562758070741321,Low
City_140,15531,High,286,Yes,Good,Partially Regulated,Moderate,No,141,1401,7.54467266028729,3621,257,13.305278122111904,Low
City_141,19156,High,134,No,Good,Well Regulated,High,Yes,148,1281,6.856734730476126,1230,183,7.290956250147666,Low
City_142,15360,High,592,Yes,Average,Well Regulated,Low,Yes,10,1294,7.083249595289441,5000,179,12.837226456116307,Low
City_143,13439,High,544,Yes,Good,Well Regulated,Low,No,112,1180,6.501484121991854,500,149,12.63242019550314,Low
City_144,12198,Medium,385,Yes,Poor,Unregulated,Low,No,168,1320,7.18957520329004,1816,191,12.486146552220426,Low
City_145,4318,High,799,Yes,Average,Unregulated,High,No,173,479,6.630431860815543,3097,369,13.830269605034283,Low
City_146,9396,High,178,No,Poor,Well Regulated,Low,No,70,1087,6.412071815305795,3380,235,14.13013714322794,Low
City_147,11130,High,82,Yes,Poor,Well Regulated,Low,Yes,270,1234,7.401178757940195,2474,81,10.661470249225061,Low
City_148,21288,High,259,No,Good,Well Regulated,Low,Yes,84,854,7.368090030287013,2531,500,22.304138803095963,Low
City_149,16513,High,396,No,Poor,Well Regulated,High,No,244,1273,7.778901085738982,3150,309,5.627595787637355,Low
City_150,2414,Medium,458,No,Poor,Unregulated,Moderate,Yes,197,1112,6.904151691044883,2301,73,8.69025207823398,Low
City_151,16382,Low,355,No,Good,Well Regulated,Moderate,No,103,1646,7.508823216853249,4451,205,25.0,Low
City_152,11636,High,481,Yes,Good,Well Regulated,Low,No,300,1596,7.611678186956137,3718,281,6.525470941510196,Low
City_153,9683,Low,140,Yes,Poor,Unregulated,Low,Yes,55,1041,7.535282571717067,3762,499,4.369279564101696,Low
City_154,18307,Low,713,No,Good,Partially Regulated,Moderate,Yes,240,1127,6.619873745456957,1328,114,18.628778055564982,Low
City_155,21114,High,389,Yes,Poor,Partially Regulated,High,Yes,247,1148,7.322424127311498,2502,399,1.0,Low
City_156,20446,Medium,644,No,Good,Partially Regulated,High,No,101,1045,7.477181948960445,2209,457,12.006830951825737,Low
City_157,8597,Medium,479,No,Average,Well Regulated,Low,Yes,281,1221,7.21997245731456,1276,179,25.0,Low
City_158,12144,Medium,503,Yes,Average,Partially Regulated,Moderate,No,138,961,6.0,3084,227,3.0637974782627637,Low
City_159,16430,Medium,527,Yes,Average,Unregulated,High,Yes,185,860,7.3304410888394775,1895,123,1.0,Medium
City_160,20742,High,501,No,Average,Unregulated,Moderate,Yes,182,1338,8.5,3474,238,3.37623380952831,Medium
City_161,11006,Medium,543,Yes,Poor,Well Regulated,Low,No,148,1339,6.955373053676626,1190,260,19.747852718563376,Low
City_162,12971,Medium,689,No,Poor,Unregulated,Low,Yes,230,949,6.690182730231902,4882,356,21.293943349017603,Low
City_163,6809,Medium,448,No,Poor,Well Regulated,High,No,229,1412,7.48381697999374,1421,415,10.1131848857826,Low
City_164,6207,High,557,No,Good,Partially Regulated,High,No,10,996,7.439884684565346,2897,163,18.278719251613715,Low
City_165,19651,Medium,387,No,Poor,Partially Regulated,Moderate,Yes,273,1237,8.074227480798884,3655,20,23.10676532257992,Low
City_166,23290,Medium,713,Yes,Good,Unregulated,Moderate,No,14,1391,6.308440825092559,1852,263,25.0,Low
City_167,13731,Medium,262,Yes,Poor,Unregulated,Low,Yes,250,1159,7.741797363875934,3735,306,11.931298324284198,Low
City_168,20930,High,789,No,Good,Unregulated,Moderate,No,258,1292,7.640229684159832,980,300,1.0,Low
City_169,16634,Medium,398,Yes,Poor,Partially Regulated,Moderate,Yes,64,1027,7.112376055700137,4529,221,8.008024252232058,Low
City_170,9896,Medium,102,Yes,Poor,Well Regulated,Low,No,124,1114,7.458841759528693,2626,283,10.698965461575211,Low
City_171,16632,Medium,433,No,Average,Well Regulated,Low,No,63,1112,7.956577450395496,1818,473,11.845235157569887,Low
City_172,24507,Low,261,No,Good,Partially Regulated,Low,No,141,965,7.843348424878741,2211,318,12.33060115883431,Low
City_173,13974,Medium,585,Yes,Good,Partially Regulated,Low,Yes,133,1120,6.3911953672506705,3678,214,21.253777249714524,Low
City_174,24685,Low,267,Yes,Average,Well Regulated,High,Yes,228,746,7.805766464926654,1833,197,22.31584076221433,Low
City_175,2000,Low,311,Yes,Good,Well Regulated,Low,Yes,274,1034,7.168188508638394,1615,242,12.441125612181793,Low
City_176,19714,Low,50,No,Average,Unregulated,High,No,281,1090,7.2673095631360045,2314,490,21.114409363763006,Low
City_177,14796,Medium,310,Yes,Average,Well Regulated,Moderate,No,110,1098,7.267542224261228,1049,240,16.05569239623097,Low
City_178,12212,High,50,No,Poor,Well Regulated,Moderate,No,141,1102,7.106542142669615,5000,263,14.053879352068906,Low
City_179,14827,Low,69,No,Good,Well Regulated,High,Yes,12,1151,8.073486992539788,1857,199,19.803741223073615,Low
City_180,2000,Medium,568,No,Poor,Unregulated,Low,No,89,1298,7.1544768726059065,3708,416,14.106773465760945,Low
City_181,12743,Medium,573,No,Poor,Unregulated,Low,Yes,244,1406,6.408109012215992,2884,500,25.0,Low
City_182,16603,Low,497,No,Good,Partially Regulated,Low,Yes,300,991,6.931241350484428,1304,327,3.791202292693308,Low
City_183,24105,Medium,200,No,Good,Well Regulated,High,No,52,840,7.343558801411611,2599,277,10.095552988836292,Low
City_184,10745,Medium,396,No,Poor,Well Regulated,Low,No,108,884,8.100512936165785,3645,270,12.749465091623733,Low
City_185,8802,High,405,Yes,Poor,Partially Regulated,High,Yes,157,1035,7.649360966086562,2358,20,16.614204852137753,Low
City_186,10855,Low,160,No,Average,Well Regulated,High,No,184,1072,6.6019452664943055,4186,367,22.271674405038883,Low
City_187,20340,High,726,No,Poor,Well Regulated,High,No,89,958,8.5,3959,284,13.44679426396238,Low
City_188,16414,Low,593,No,Poor,Well Regulated,High,No,197,815,7.405584329237162,3823,324,3.901697862860898,Low
City_189,10668,Low,359,No,Poor,Well Regulated,Moderate,Yes,118,1044,8.133785103126428,1999,168,19.366510274147576,Low
City_190,17649,Medium,412,Yes,Poor,Well Regulated,Moderate,Yes,158,1217,7.105481890472656,1178,213,18.768639637380957,Low
City_191,14863,Medium,450,No,Good,Unregulated,Low,No,207,1330,7.5991129684853105,1795,209,1.0,Low
City_192,20696,High,50,Yes,Poor,Well Regulated,Low,No,160,1016,7.819680549318237,2867,405,13.587423454571146,Low
City_193,9515,High,354,No,Poor,Well Regulated,High,No,121,1055,8.092572402962535,3329,214,2.7551087101693597,Low
City_194,12020,Low,261,No,Average,Partially Regulated,Low,Yes,150,915,7.976688644953745,500,500,9.074826720850783,Low
City_195,11589,Low,193,Yes,Poor,Partially Regulated,High,No,152,1159,7.843263125987706,2596,324,7.448564814306162,Low
City_196,4418,High,346,Yes,Good,Well Regulated,Low,No,127,937,6.987763685925395,2816,91,19.139467961075532,Low
City_197,16195,Medium,789,No,Good,Unregulated,Moderate,Yes,137,1324,6.8028273553236955,2240,248,14.411175417341548,Low
City_198,15961,Medium,542,Yes,Good,Well Regulated,High,Yes,299,681,7.454460943167477,4316,176,4.834735546011187,Low
City_199,14248,Low,285,No,Average,Partially Regulated,Moderate,Yes,209,1070,7.8871671203194715,3165,20,19.622934744437142,Low
City_200,12643,Medium,528,Yes,Good,Partially Regulated,High,Yes,134,1250,7.054318196209656,4341,485,3.822649899042201,Low
City_201,4741,Low,704,Yes,Poor,Unregulated,Low,No,220,1218,7.982311586523825,2321,362,15.867583637311217,Low
City_202,11398,Medium,603,Yes,Average,Partially Regulated,High,No,130,1800,8.261485623378602,3848,338,8.054924152335339,Low
City_203,11920,Low,419,Yes,Average,Well Regulated,Low,No,262,1263,6.554543304367449,4771,288,11.116372248435791,Low
City_204,8844,High,268,No,Average,Well Regulated,High,No,192,894,6.611755273100422,4343,76,17.056815276232953,Low
City_205,13134,Medium,555,Yes,Good,Partially Regulated,Low,Yes,150,1142,7.113652497402566,1161,199,17.174119778985478,Low
City_206,16918,Low,490,No,Poor,Partially Regulated,Low,Yes,199,684,7.436450864457715,2271,381,22.74289987609272,Low
City_207,26000,Medium,597,No,Poor,Unregulated,High,Yes,22,1146,6.836822289420289,2150,121,13.051730208370925,Low
City_208,15382,Low,541,No,Poor,Partially Regulated,Low,No,61,941,8.189132086052451,3255,20,15.70600122076805,Low
City_209,15937,High,629,No,Good,Well Regulated,Moderate,Yes,55,1417,7.520362144097471,3515,234,10.62430854702993,Low
City_210,13715,High,292,Yes,Average,Unregulated,Low,Yes,172,1018,7.243223641959659,1497,246,14.856118806079714,Low
City_211,2000,Low,686,No,Poor,Partially Regulated,High,No,300,1136,6.180152795377162,2697,284,16.614432634335092,Low
City_212,14036,Medium,448,No,Poor,Unregulated,High,Yes,300,995,6.266686533493117,500,365,12.942090724486045,Low
City_213,14616,Low,800,No,Good,Partially Regulated,Moderate,No,215,1642,7.41728172356565,4516,353,1.2964809726763935,Low
City_214,26000,Medium,259,No,Poor,Partially Regulated,Low,No,203,1080,6.0,1929,301,15.876850641331977,Low
City_215,12926,Medium,775,Yes,Poor,Partially Regulated,Low,Yes,10,1667,7.944457717125554,2681,429,16.102809836154687,Low
City_216,16232,Medium,448,No,Poor,Well Regulated,High,Yes,112,1390,7.100841961376977,2197,57,8.968832080770374,Low
City_217,13981,Low,268,Yes,Good,Well Regulated,Low,No,91,1299,8.5,4124,335,4.842956824757538,Low
City_218,6392,Medium,303,Yes,Poor,Well Regulated,High,No,105,1268,8.5,500,351,23.69144801783234,Low
City_219,21862,Low,338,Yes,Average,Unregulated,Moderate,Yes,145,1275,7.0840565449579485,2585,96,16.96923808149245,Low
City_220,19246,Low,496,No,Good,Unregulated,Moderate,Yes,118,643,7.138178680489155,2467,60,12.049119056797316,Low
City_221,19508,High,517,Yes,Good,Unregulated,High,Yes,10,1092,7.932168060670853,2007,163,5.849165380721172,Low
City_222,8127,High,284,No,Average,Well Regulated,Low,No,225,1398,8.442024104687551,4892,175,8.001633413441187,Low
City_223,23602,High,401,Yes,Average,Well Regulated,High,No,66,1155,6.03451519988168,1433,369,22.508144913156528,Low
City_224,4831,Medium,800,No,Average,Partially Regulated,Low,No,180,785,6.0,3629,181,14.553425238395995,Low
City_225,18141,High,774,No,Good,Partially Regulated,Moderate,No,300,1154,6.766591695753194,3079,148,9.853713512569215,Low
City_226,26000,High,499,No,Poor,Well Regulated,Low,No,79,1632,7.634692619581728,4277,182,17.093815415245977,Low
City_227,7584,Medium,414,Yes,Poor,Well Regulated,Low,No,10,1508,7.572823164359671,1724,419,8.052277982714877,Low
City_228,10423,Low,432,No,Good,Well Regulated,High,Yes,135,1151,7.985625756836257,1637,267,23.861913993323746,Low
City_229,14880,High,537,No,Good,Well Regulated,Moderate,No,256,1427,6.350355775985127,4058,241,22.851005087505328,Low
City_230,10844,High,189,No,Poor,Well Regulated,Low,Yes,300,1068,6.0,3170,250,10.427396666426608,Low
City_231,3835,Medium,351,Yes,Average,Unregulated,Low,No,52,704,7.833043680356954,562,442,9.320522134765532,Low
City_232,14672,High,51,Yes,Poor,Well Regulated,High,No,203,916,6.618041677516034,1893,163,1.0,Low
City_233,7104,Low,491,No,Poor,Well Regulated,Low,No,119,1594,6.0,3118,446,3.4964184348812353,Low
City_234,17383,Low,544,Yes,Average,Well Regulated,Moderate,No,150,1093,7.319325944534883,3716,294,4.466824072120149,Medium
City_235,8060,Medium,303,No,Poor,Unregulated,Low,No,300,1102,7.786324176801401,1708,243,14.536547906488668,Low
City_236,24587,Medium,741,No,Poor,Partially Regulated,Low,Yes,28,1086,7.126851512679345,500,500,11.385711549172125,Low
City_237,8971,Medium,145,Yes,Average,Unregulated,Low,Yes,182,1687,6.884896517203571,3300,121,4.426770025835161,Low
City_238,12058,High,95,No,Average,Unregulated,Moderate,No,200,1611,7.09997125538105,992,217,11.693469957029968,Low
